Frm,Track,xc,yc,w,h,Velocity(kmph)
21,11,2311,613,92,134,1.70076755252976
21,3,2312,995,134,71,36.929786009056
21,7,2825,648,84,60,-0.113612792049249
21,1,2430,1485,96,128,25.3102316900642
21,9,2436,517,74,62,0.39053092283391
21,2,1942,862,134,70,35.693923220976
21,19,3320,742,35,31,11.6514744512439
21,5,2491,404,86,49,1.01321938686682
22,12,3468,1911,176,97,2.48086349238474
22,20,3322,703,51,33,0
22,6,2477,456,88,49,1.46632488983925
22,13,1843,1301,43,87,13.1805565380509
22,4,2391,392,83,51,1.06539819996013
22,8,2527,643,75,65,1.03891231797595
22,10,2693,661,92,61,1.66708320271588
22,15,3632,647,108,42,3.23810791175088
22,14,1612,1416,106,47,25.4570005785572
22,11,2311,613,92,135,1.2948676452449
22,3,2324,994,134,71,36.6623699776354
22,7,2825,648,84,60,-0.174518735827683
22,1,2433,1494,97,127,25.7817849048204
22,9,2436,517,73,62,0.30707548944443
22,2,1954,862,134,70,35.6116218804393
22,19,3321,741,36,30,6.73113776551064
22,5,2491,404,86,49,0.829067516950745
23,12,3468,1911,176,97,1.98943546910234
23,20,3323,703,52,33,2.90546361370481
23,6,2476,457,87,48,2.03822613313548
23,13,1843,1297,43,87,13.0253729266656
23,4,2391,392,83,51,0.871067302287877
23,8,2527,643,75,65,0.856994469010571
23,10,2693,661,92,60,1.39772177530973
23,15,3633,648,109,44,3.53341537617765
23,14,1621,1418,105,48,25.7556540632647
23,11,2311,614,91,135,1.49951766896581
23,3,2337,994,134,71,36.9532491902176
23,7,2825,648,84,61,-0.221966375532206
23,1,2436,1503,96,129,26.1855224712033
23,9,2436,517,72,61,0.235854701287
23,2,1966,863,135,71,35.5601667091988
23,19,3321,740,40,28,3.6285612463143
23,5,2492,404,86,49,1.218978740027
24,12,3468,1911,176,97,1.56531658495002
24,20,3326,704,50,33,9.16385084529548
24,6,2477,457,88,49,2.30709098578561
24,13,1845,1292,44,88,13.6251102026011
24,4,2391,392,83,51,0.702373246574448
24,8,2527,643,75,65,0.698593035722379
24,10,2693,661,92,60,1.16168449731352
24,15,3633,647,109,43,3.54452564167815
24,14,1629,1422,105,47,25.8645930969765
24,11,2311,614,91,135,1.14701211024865
24,3,2350,994,134,72,37.2012053353327
24,7,2825,648,84,61,-0.258105651210696
24,1,2438,1511,96,129,25.8669134674083
24,9,2436,517,73,62,0.174998228745515
24,2,1978,863,134,71,35.4902388316763
24,19,3318,740,47,28,4.64427143411047
24,5,2491,404,86,49,1.5568243357389
24,16,1623,1420,43,48,28.7848876250927
25,12,3468,1911,175,97,1.19902321588351
25,20,3327,704,50,33,5.02847036671605
25,6,2477,457,88,48,2.00969443651806
25,13,1846,1288,45,90,13.4786706494468
25,4,2390,392,84,51,1.08073462012445
25,8,2527,643,75,65,0.560432752360503
25,10,2693,661,91,60,0.954373272658382
25,15,3633,647,109,43,2.99757622803048
25,14,1637,1425,103,45,25.7459859355123
25,11,2311,614,91,135,0.84439994189071
25,3,2362,994,135,73,36.8873659764537
