Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
72,1,2557,1920,93,132,26.8850022717002,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
73,1,2560,1929,93,132,27.0479776932739,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
74,1,2562,1939,93,132,27.5334368894248,2.0,10.0,1.373400766945016,0.9891747662264337,0.9765600188660651,0.9499884102756287,0.8964879755941256,0.7979288209925103,0.6429065677737318,0.45081078480385434,0.27233800836983413,N
75,1,2565,1948,94,134,27.6303862624321,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
76,1,2567,1957,94,132,27.5833925425122,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
77,1,2570,1967,96,132,28.1181235688593,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
78,1,2572,1975,97,133,27.5477193986505,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
79,1,2574,1984,96,135,27.4853359565068,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
80,1,2577,1994,95,134,28.0086532770339,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
81,1,2580,2004,94,133,28.4813009037466,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
82,1,2583,2013,94,132,28.4479298430757,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
83,1,2585,2022,93,132,28.2799971632943,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
84,1,2587,2031,94,133,28.1186634499233,2.0,9.0,1.3521273809209546,0.988944555041434,0.9760680324356023,0.9489678586863456,0.8944969516167276,0.7944767363892807,0.6380078022842034,0.44554969098789676,0.26814298041214635,N
85,1,2590,2040,94,133,28.0932530120578,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
86,1,2593,2050,95,133,28.521946217815,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
87,1,2596,2059,96,132,28.4512501125757,3.0,9.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
88,1,2599,2070,97,133,29.2973629948976,3.0,11.0,1.3045442776439713,0.988412067852284,0.9749310650166401,0.9466138176054695,0.8899216721797786,0.7865986393345696,0.6269479884977044,0.4338274910742569,0.25890847992609634,N
89,1,2602,2080,96,135,29.601468922859,3.0,10.0,1.2793395323170296,0.9881197976392265,0.9743076160394043,0.945325630120678,0.8874282057926284,0.7823371728604626,0.6210343852286536,0.42764731505157233,0.25410179962229756,N
90,1,2604,2088,96,134,28.8165036243706,2.0,8.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
91,1,2608,2095,95,128,28.0018011194999,4.0,7.0,1.0516502125483738,0.9851272317443919,0.9679486853190596,0.9322920803266447,0.8625988983297008,0.7410912811180499,0.5661724256257813,0.3730521655736504,0.21340160936889327,N
92,1,2610,2101,95,119,26.4221149437809,2.0,6.0,1.2490457723982544,0.9877588673964526,0.9735382980061293,0.9437386045905727,0.8843661718735706,0.7771344758985451,0.6138790424947035,0.4202492481963628,0.24840299444981406,N
93,1,2611,2106,94,109,24.3972576123161,1.0,5.0,1.373400766945016,0.9891747662264337,0.9765600188660651,0.9499884102756287,0.8964879755941256,0.7979288209925103,0.6429065677737318,0.45081078480385434,0.27233800836983413,N
94,1,2613,2111,94,101,22.7017658884152,2.0,5.0,1.1902899496825317,0.9870276642629159,0.9719817500301589,0.9405362336574501,0.8782204621321145,0.7667925647147209,0.5998622180219273,0.4060049389333808,0.2375964070321087,N
95,1,2615,2115,92,90,20.7443442396173,2.0,4.0,1.1071487177940904,0.9859188438854479,0.9696264456354495,0.9357123612114678,0.8690452380182504,0.7515966996301082,0.5797506250331489,0.3861211330549827,0.22286583663735304,N
96,1,2616,2119,90,80,18.8278765418675,1.0,4.0,1.3258176636680326,0.9886531822602734,0.9754457169701837,0.9476786162667915,0.8919882146890404,0.790147586578737,0.6319097438732124,0.4390599287787616,0.2630114360798381,N
