Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
81,1,2580,2004,94,133,28.4813009037466,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
82,1,2583,2013,94,132,28.4479298430757,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
83,1,2585,2022,93,132,28.2799971632943,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
84,1,2587,2031,94,133,28.1186634499233,2.0,9.0,1.3521273809209546,0.0009829192053996294,0.024638299813304718,0.2272040751096479,0.770786263012392,0.9619761089014974,0.4416793340194795,0.07460404009710317,1.4425715722065219e-05,S
85,1,2590,2040,94,133,28.0932530120578,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
86,1,2593,2050,95,133,28.521946217815,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
87,1,2596,2059,96,132,28.4512501125757,3.0,9.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
88,1,2599,2070,97,133,29.2973629948976,3.0,11.0,1.3045442776439713,0.0012291647784575777,0.029000604942992433,0.25171649857293743,0.8037555172562375,0.9441563063425158,0.4080106144000529,0.06486443542650426,1.9165530546104127e-05,S
89,1,2602,2080,96,135,29.601468922859,3.0,10.0,1.2793395323170296,0.0013816927069951644,0.031569718217766336,0.26536142686409137,0.8205644821342358,0.9334594429251842,0.390648350368066,0.060142894237616984,2.224641774621393e-05,S
90,1,2604,2088,96,134,28.8165036243706,2.0,8.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
91,1,2608,2095,95,128,28.0018011194999,4.0,7.0,1.0516502125483738,0.0037937442170769236,0.06486565538548882,0.40801196158258335,0.944152792985166,0.8037536382689183,0.2517183550487778,0.029001339846673947,8.162677198220252e-05,SE
92,1,2610,2101,95,119,26.4221149437809,2.0,6.0,1.2490457723982544,0.001588096977864715,0.03491282824787571,0.28235850437332716,0.8400875664900898,0.9195092447448451,0.3702503833346492,0.054845730209189834,2.6575217021882014e-05,S
93,1,2611,2106,94,109,24.3972576123161,1.0,5.0,1.373400766945016,0.0008882944163922766,0.022878362101769877,0.21677128427837294,0.7555920446770618,0.968906319949478,0.45707236837059095,0.07932259144136403,1.2688134635961344e-05,S
94,1,2613,2111,94,101,22.7017658884152,2.0,5.0,1.1902899496825317,0.002071697490247543,0.042260641791632005,0.317144083509368,0.8755639986030087,0.889262367174146,0.332263508146731,0.04567158379947985,3.736176546202947e-05,S
95,1,2615,2115,92,90,20.7443442396173,2.0,4.0,1.1071487177940904,0.0029889753409488968,0.05484711991605562,0.37025231485185855,0.9195052107602373,0.8400846717083019,0.28236078236563344,0.03491388192499474,5.992434560471956e-05,SE
96,1,2616,2119,90,80,18.8278765418675,1.0,4.0,1.3258176636680326,0.0011127783262609254,0.026974734749143317,0.24055645597682138,0.7892020038735857,0.9525125117449919,0.42292617535120935,0.06908278312198007,1.6887735723303982e-05,S
